id;title;description;number_of_candidates;payment_amount;recruiter_income_rate;candidate_income_rate;deadline;status;created_at;opened_at;closed_at;done_at;employer_id
1;round stretcher;seemingly cayenne;19309;22980.61;7646.97;3318.31;2024-05-20;NEW;2024-05-19T19:44:54;2024-05-20T10:57:08;2024-05-20T06:58:17;2024-05-20T11:45:15;1
2;hence fairly;broadly athwart knowingly;23063;17846.67;17248.17;22910.97;2024-05-20;OPEN;2024-05-19T17:10:48;2024-05-20T09:20:37;2024-05-20T03:34:35;2024-05-20T12:45:57;2
3;hatred intrepid sheepishly;reliable shyly so;24938;19147.94;1614.81;1503.05;2024-05-20;NEW;2024-05-20T08:49:50;2024-05-19T18:07:22;2024-05-20T11:40:44;2024-05-19T18:03:31;2
4;yet past;under growling crumb;22398;18443.4;28667.44;24416.59;2024-05-20;CLOSED;2024-05-19T21:28:28;2024-05-20T10:45:49;2024-05-20T02:58:53;2024-05-20T11:07:53;1
5;as honestly so;silently yum;19410;26009.21;24361.49;9673.44;2024-05-20;CLOSED;2024-05-19T21:13:19;2024-05-20T06:51:33;2024-05-19T16:10:23;2024-05-19T19:25:26;1
6;better;easy unconscious;737;30811.61;3823.41;14515.28;2024-05-20;OPEN;2024-05-20T00:14:24;2024-05-19T18:18:29;2024-05-19T23:59:13;2024-05-20T10:04:53;2
7;nor fare console;moment;20631;31509.75;3022.24;9282.08;2024-05-19;OPEN;2024-05-19T18:54:35;2024-05-19T20:51:31;2024-05-19T21:06:28;2024-05-20T03:17:27;2
8;parched;waste;6176;4266.48;10413.87;22899.87;2024-05-20;DONE;2024-05-19T17:37:40;2024-05-19T17:13:58;2024-05-20T11:22:17;2024-05-20T07:13:37;1
9;hm down well-documented;restfully;22384;11546.36;29097.18;16613.73;2024-05-20;NEW;2024-05-19T19:35:18;2024-05-20T03:41:30;2024-05-20T00:07:07;2024-05-20T09:07:58;1
10;enunciate humble against;the;16381;10531.63;10269.29;13338.57;2024-05-20;NEW;2024-05-19T22:17:18;2024-05-20T07:30:52;2024-05-20T08:19:51;2024-05-19T19:44:02;2
